Name MC MP
Bitcoin 126,325,216,820,045 63%
Ethereum 38,000,509,918,636 19%
"Tether USDt" 9,894,475,775,704 5%
BNB 8,051,574,770,859 4%
Solana 7,265,488,585,267 4%
USDC 3,044,671,946,523 2%
XRP 3,014,864,019,353 1%
Dogecoin 2,637,557,718,196 1%
Cardano 1,915,545,642,551 1%
Toncoin 1,732,545,693,498 1%
